imdb_id,type,title,country,date_added,release_year,rating,listed_in,description,age_certification,runtime,imdb_score,imdb_votes
tt8425410,Movie,Posesif,Indonesia,"January 1, 2020",2017,TV-MA,"Dramas, International Movies, Romantic Movies",A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,,102mins,7.4,920
tt5182866,TV Show,Reply 1988,South Korea,"January 1, 2020",2015,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,TV-14,95mins,9.2,6557
tt4642044,Movie,Riot,Somewhere,"January 1, 2020",2015,TV-MA,Action & Adventure,"Seeking vengeance for the murder of his wife, a cop robs a bank in order to be thrown into prison with the Russian kingpin who ruined his life.",,87mins,5.1,3332
tt9117054,TV Show,Spinning Out,United States,"January 1, 2020",2020,TV-MA,TV Dramas,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",TV-MA,50mins,7.6,13692
tt6385752,TV Show,The Bride of Habaek,South Korea,"January 1, 2020",2017,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him.",TV-14,67mins,7.1,2501
tt10081210,Movie,Aaviri,India,"December 31, 2019",2019,TV-14,"Horror Movies, International Movies, Thrillers","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",,113mins,4,95
tt8750122,Movie,Benchwarmers 2: Breaking Balls,United States,"December 31, 2019",2019,PG-13,"Comedies, Sports Movies",A rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team.,PG-13,90mins,4.1,947
tt8861802,Movie,How High 2,United States,"December 31, 2019",2019,TV-MA,Comedies,"When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it.",,89mins,3,1097
tt4192998,TV Show,Occupied,"Norway, Sweden","December 31, 2019",2019,TV-MA,"International TV Shows, TV Dramas, TV Thrillers","In the near future, Russia initiates a ""silk glove"" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt.",TV-MA,45mins,7.7,8839
tt5828144,TV Show,Rainbow Ruby,"South Korea, Canada, United States, China","December 31, 2019",2016,TV-Y,Kids' TV,"Ruby makes magical journeys with her teddy bear Choco to Rainbow Village, where her toys come to life – and where there's always a problem to solve!",TV-Y,11mins,6.5,77
tt7216288,TV Show,Robot Trains,South Korea,"December 31, 2019",2018,TV-Y7,"Kids' TV, Korean TV Shows","Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!",TV-Y7,12mins,6,87
tt9077196,TV Show,The Degenerates,Somewhere,"December 31, 2019",2019,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.,,28mins,6.2,666
tt2336284,Movie,Blitz Patrollie,South Africa,"December 27, 2019",2013,TV-MA,"Action & Adventure, Comedies, International Movies","Caught between family pressures and small-time crime-fighting, a pair of bumbling cops tries to bust a massive drug deal and go down in history.",,101mins,5.4,145
tt11385066,Movie,The App,Italy,"December 26, 2019",2019,TV-MA,"Dramas, Independent Movies, International Movies","While in Rome to shoot his first movie, actor and industrial heir Nick becomes obsessed with a dating app that sends him into a self-destructive spiral.",,79mins,2.7,1329
tt9050352,TV Show,The Bonfire of Destiny,France,"December 26, 2019",2019,TV-MA,"International TV Shows, TV Dramas","After a devastating fire in 1897 Paris, three women find their lives upended by betrayals, deceptions and romantic turmoil. Inspired by real events.",TV-MA,50mins,7.6,4442
tt7335184,TV Show,You,United States,"December 26, 2019",2019,TV-MA,"Crime TV Shows, Romantic TV Shows, TV Dramas","Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",TV-MA,47mins,7.7,225949
tt8328716,Movie,Doom: Annihilation,United States,"December 25, 2019",2019,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","When a swarm of soul-stealing demons invades a Martian moon, a group of elite space Marines must obliterate the beasts to save Earth.",R,97mins,3.7,9200
tt6317962,Movie,Fireworks,Japan,"December 25, 2019",2017,TV-PG,"Anime Features, Romantic Movies","Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.",PG-13,90mins,5.6,3147
tt8749922,Movie,Grand-Daddy Day Care,United States,"December 25, 2019",2019,PG-13,"Children & Family Movies, Comedies",A frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.,PG-13,91mins,4.9,864
tt10767720,Movie,Jarhead: Law of Return,"Israel, United States","December 25, 2019",2019,R,"Action & Adventure, Dramas","When a U.S. senator’s son is held captive by Hezbollah militiamen, a group of highly trained soldiers ventures into enemy territory to bring him home.",R,103mins,5.6,
tt4717402,Movie,MFKZ,"France, Japan","December 25, 2019",2017,R,"Action & Adventure, Comedies, International Movies",Mysterious goons chase teenage slacker Angelino through chaotic Dark Meat City as he uncovers secret powers that could be the key to saving the world.,R,95mins,6.7,4263
tt6560164,Movie,Sweetheart,United States,"December 25, 2019",2019,PG-13,"Horror Movies, Sci-Fi & Fantasy, Thrillers",A woman shipwrecked on a remote island discovers she’s not alone and begins a fight for survival against a deadly presence that emerges each night.,PG-13,82mins,5.8,8074
tt11318624,Movie,John Mulaney & The Sack Lunch Bunch,United States,"December 24, 2019",2019,TV-PG,"Children & Family Movies, Comedies","John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",,70mins,7.4,3498
tt5232792,TV Show,Lost in Space,United States,"December 24, 2019",2019,TV-PG,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",TV-PG,49mins,7.3,96868
tt8211214,Movie,Back of the Net,Australia,"December 21, 2019",2019,TV-Y,"Children & Family Movies, Sports Movies",An American science geek ready to spend a summer at sea accidentally ends up at an Australian soccer academy and is forced to kick it with the locals.,,86mins,5.1,680
tt8404614,Movie,The Two Popes,"United Kingdom, Italy","December 20, 2019",2019,PG-13,Dramas,"At a key turning point for the Catholic Church, Pope Benedict XVI forms a surprising friendship with the future Pope Francis. Inspired by true events.",PG-13,125mins,7.6,120871
tt5180504,TV Show,The Witcher,"United States, Poland","December 20, 2019",2019,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas","Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",TV-MA,58mins,8.2,465949
tt7514746,TV Show,Ultraviolet,Poland,"December 19, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",An online community of amateur sleuths use technology to solve crimes – and make quirky friends – in their quest for justice.,TV-MA,46mins,7,1573
tt11318602,TV Show,Don't F**k with Cats: Hunting an Internet Killer,"United Kingdom, United States","December 18, 2019",2019,TV-MA,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,TV-MA,62mins,8,50250
